Series Name,Series Code,Country Name,Country Code,2000 [YR2000]
Malaria cases reported,SH.STA.MALR,Swaziland,SWZ,..
Malaria cases reported,SH.STA.MALR,Sweden,SWE,..
Malaria cases reported,SH.STA.MALR,Switzerland,CHE,..
Malaria cases reported,SH.STA.MALR,Syrian Arab Republic,SYR,6
Malaria cases reported,SH.STA.MALR,Tajikistan,TJK,19064
Malaria cases reported,SH.STA.MALR,Tanzania,TZA,17734
Malaria cases reported,SH.STA.MALR,Thailand,THA,78561
Malaria cases reported,SH.STA.MALR,Timor-Leste,TLS,15212
Malaria cases reported,SH.STA.MALR,Togo,TGO,..
Malaria cases reported,SH.STA.MALR,Tonga,TON,..
Malaria cases reported,SH.STA.MALR,Trinidad and Tobago,TTO,..
Malaria cases reported,SH.STA.MALR,Tunisia,TUN,..
Malaria cases reported,SH.STA.MALR,Turkey,TUR,11432
Malaria cases reported,SH.STA.MALR,Turkmenistan,TKM,24
Malaria cases reported,SH.STA.MALR,Turks and Caicos Islands,TCA,..
Malaria cases reported,SH.STA.MALR,Tuvalu,TUV,..
Malaria cases reported,SH.STA.MALR,Uganda,UGA,..
Malaria cases reported,SH.STA.MALR,Ukraine,UKR,..
Malaria cases reported,SH.STA.MALR,United Arab Emirates,ARE,..
Malaria cases reported,SH.STA.MALR,United Kingdom,GBR,..
Malaria cases reported,SH.STA.MALR,United States,USA,..
Malaria cases reported,SH.STA.MALR,Uruguay,URY,..
Malaria cases reported,SH.STA.MALR,Uzbekistan,UZB,126
Malaria cases reported,SH.STA.MALR,Vanuatu,VUT,6768
Malaria cases reported,SH.STA.MALR,"Venezuela, RB",VEN,29736
Malaria cases reported,SH.STA.MALR,Vietnam,VNM,74316
Malaria cases reported,SH.STA.MALR,Virgin Islands (U.S.),VIR,..
Malaria cases reported,SH.STA.MALR,West Bank and Gaza,PSE,..
Malaria cases reported,SH.STA.MALR,"Yemen, Rep.",YEM,1394495
Malaria cases reported,SH.STA.MALR,Zambia,ZMB,..
Malaria cases reported,SH.STA.MALR,Zimbabwe,ZWE,..
,,,,
,,,,
,,,,
Data from database: Health Nutrition and Population Statistics,,,,
Last Updated: 12/18/2017,,,,
